id,year,dane_code,ind_1_icbf_children,ind_2_prescholar_children,ind_3_total_children,ind_4_overlaping_services,source_id
135,2015,81736,2442,0,2442,81.5,117
136,2015,81794,3149,0,3149,81.3,117
137,2015,63001,3417,0,3417,91.6,117
138,2015,08078,1186,0,1186,65.1,117
139,2015,08137,857,0,857,66.2,117
140,2015,08141,326,0,326,82.6,117
141,2015,08296,2096,0,2096,58.9,117
142,2015,08372,709,0,709,57.6,117
143,2015,08421,738,0,738,48.3,117
144,2015,08436,1383,0,1383,43.5,117
145,2015,08520,956,0,956,31.8,117
146,2015,08549,206,0,206,73.4,117
147,2015,08558,163,0,163,74.1,117
148,2015,08560,930,0,930,40.2,117
149,2015,08573,767,0,767,64.2,117
150,2015,08606,501,0,501,60.2,117
151,2015,08634,1656,0,1656,52.4,117
152,2015,08638,2219,0,2219,66.7,117
153,2015,08675,616,0,616,44.9,117
154,2015,08685,316,0,316,66.7,117
155,2015,08770,161,0,161,78.3,117
156,2015,08832,651,0,651,28.5,117
157,2015,08849,649,0,649,78.6,117
158,2015,68081,3028,0,3028,35.5,117
159,2015,08001,27527,0,27527,68.4,117
160,2015,05088,4976,0,4976,56.3,117
161,2015,11001,115572,0,115572,22.8,117
162,2015,13006,467,0,467,11.3,117
163,2015,13030,182,0,182,69.8,117
164,2015,13042,751,0,751,50.4,117
165,2015,13052,750,0,750,11.4,117
166,2015,13062,465,0,465,43.3,117
167,2015,13074,607,0,607,58.7,117
168,2015,13140,1025,0,1025,42.4,117
169,2015,13160,418,0,418,1.2,117
170,2015,13188,729,0,729,65.0,117
171,2015,13222,685,0,685,5.7,117
172,2015,13212,1051,0,1051,32.4,117
173,2015,13244,3718,0,3718,29.2,117
174,2015,13248,284,0,284,18.7,117
175,2015,13268,325,0,325,12.3,117
176,2015,13300,363,0,363,36.9,117
177,2015,13433,1048,0,1048,46.1,117
178,2015,13440,362,0,362,40.6,117
179,2015,13442,2077,0,2077,28.8,117
180,2015,13458,493,0,493,77.0,117
181,2015,13473,842,0,842,3.5,117
182,2015,13490,421,0,421,17.7,117
183,2015,13549,704,0,704,75.8,117
184,2015,13580,572,0,572,1.5,117
185,2015,13600,460,0,460,25.9,117
186,2015,13620,212,0,212,16.0,117
187,2015,13647,648,0,648,21.7,117
188,2015,13650,734,0,734,71.5,117
189,2015,13654,126,0,126,19.3,117
190,2015,13655,402,0,402,9.4,117
191,2015,13657,1874,0,1874,71.8,117
192,2015,13667,579,0,579,79.5,117
193,2015,13670,715,0,715,13.6,117
194,2015,13673,318,0,318,21.6,117
195,2015,13468,2569,0,2569,58.8,117
196,2015,13683,676,0,676,19.7,117
197,2015,13688,990,0,990,41.6,117
198,2015,13744,476,0,476,16.1,117
199,2015,13760,481,0,481,10.3,117
200,2015,13780,787,0,787,11.3,117
201,2015,13810,1713,0,1713,38.8,117
202,2015,13836,1673,0,1673,18.9,117
203,2015,13838,58,0,58,50.0,117
204,2015,13873,976,0,976,16.3,117
205,2015,13894,1067,0,1067,79.0,117
206,2015,15022,1,0,1,0.0,117
207,2015,15047,140,0,140,69.2,117
208,2015,15051,118,0,118,61.1,117
209,2015,15087,0,0,0,0.0,117
210,2015,15090,13,0,13,25.0,117
211,2015,15092,1,0,1,100.0,117
212,2015,15097,288,0,288,88.0,117
213,2015,15104,45,0,45,93.3,117
214,2015,15106,51,0,51,17.9,117
215,2015,15109,1,0,1,0.0,117
216,2015,15114,0,0,0,0.0,117
217,2015,15131,2,0,2,0.0,117
218,2015,15135,72,0,72,83.6,117
219,2015,15162,1,0,1,0.0,117
220,2015,15172,39,0,39,64.7,117
221,2015,15176,1415,0,1415,72.4,117
222,2015,15232,120,0,120,89.2,117
223,2015,15180,48,0,48,93.8,117
224,2015,15183,275,0,275,79.7,117
