id,dane_code,year_of_incident,amount,source_id
232,13673,2024,1,36
233,13836,2024,1,36
234,13836,2024,1,36
235,13836,2024,1,36
236,13836,2024,1,36
237,13836,2024,1,36
238,17614,2024,2,36
239,19698,2024,9,36
240,20001,2024,1,36
241,20001,2024,1,36
242,20001,2024,1,36
243,47980,2024,11,36
244,50001,2024,1,36
245,50001,2024,1,36
246,05604,2024,1,36
247,08606,2024,1,36
248,08606,2024,1,36
249,15681,2024,5,36
250,50573,2024,1,36
251,50573,2024,1,36
252,54001,2024,6,36
253,54520,2024,1,36
254,54520,2024,1,36
255,54520,2024,1,36
256,68001,2024,1,36
257,68307,2024,1,36
258,68307,2024,1,36
259,68307,2024,1,36
260,68307,2024,1,36
261,68547,2024,1,36
262,68547,2024,1,36
263,68547,2024,1,36
264,68547,2024,1,36
265,68547,2024,1,36
266,68547,2024,1,36
267,68547,2024,1,36
268,05604,2024,1,36
269,05670,2024,4,36
270,08001,2024,1,36
271,08573,2024,1,36
272,08573,2024,1,36
273,13836,2024,1,36
274,13836,2024,1,36
275,13836,2024,1,36
276,13836,2024,1,36
277,13836,2024,1,36
278,15442,2024,7,36
279,17873,2024,1,36
280,23417,2024,1,36
281,23500,2024,1,36
282,23500,2024,1,36
283,23675,2024,1,36
284,25324,2024,1,36
285,25324,2024,1,36
286,25473,2024,1,36
287,25473,2024,1,36
288,50318,2024,1,36
289,50318,2024,1,36
290,50318,2024,1,36
291,50318,2024,1,36
292,68307,2024,1,36
293,68307,2024,1,36
294,68307,2024,1,36
295,68307,2024,1,36
296,68307,2024,1,36
297,68307,2024,1,36
298,76130,2024,1,36
299,76147,2024,1,36
300,05579,2024,1,36
301,05604,2024,1,36
302,15681,2024,4,36
303,17001,2024,1,36
304,17777,2024,2,36
305,18001,2024,1,36
306,18001,2024,1,36
307,18001,2024,1,36
308,18001,2024,1,36
309,18001,2024,1,36
310,19001,2024,1,36
311,27810,2024,2,36
312,23670,2024,1,36
313,23675,2024,1,36
314,23675,2024,1,36
315,23675,2024,1,36
316,76001,2024,1,36
317,05670,2024,3,36
318,05670,2024,2,36
319,25326,2024,1,36
320,25326,2024,1,36
321,76130,2024,1,36
322,11001,2024,1,36
323,11001,2024,1,36
324,13430,2024,1,36
325,13430,2024,1,36
326,13430,2024,1,36
327,13657,2024,1,36
328,13657,2024,1,36
329,13673,2024,1,36
330,15681,2024,4,36
331,19001,2024,1,36
332,19001,2024,1,36
333,20045,2024,1,36
334,20001,2024,1,36
335,20001,2024,1,36
336,23417,2024,1,36
337,23555,2024,1,36
338,25307,2024,1,36
339,25307,2024,1,36
340,41524,2024,1,36
341,41524,2024,1,36
342,08685,2024,1,36
343,08685,2024,1,36
344,08685,2024,1,36
345,13430,2024,1,36
346,13430,2024,1,36
347,13430,2024,1,36
348,13430,2024,1,36
349,13657,2024,1,36
350,15681,2024,12,36
351,17495,2024,3,36
352,19001,2024,1,36
353,19001,2024,1,36
354,20060,2024,1,36
355,20060,2024,1,36
356,20060,2024,1,36
357,20060,2024,1,36
358,20060,2024,1,36
359,25612,2024,1,36
360,25772,2024,1,36
361,41298,2024,1,36
362,41668,2024,1,36
363,50313,2024,1,36
364,50313,2024,1,36
365,50313,2024,1,36
366,50313,2024,1,36
367,50001,2024,1,36
368,50001,2024,1,36
369,86320,2024,1,36
370,73678,2024,1,36
371,73678,2024,1,36
372,05306,2024,2,36
373,13052,2024,1,36
374,13433,2024,1,36
375,13433,2024,1,36
376,13442,2024,1,36
377,13836,2024,1,36
378,18001,2024,1,36
379,18001,2024,1,36
380,18001,2024,1,36
381,18001,2024,1,36
382,70823,2024,1,36
383,70823,2024,1,36
384,11001,2024,1,36
385,13430,2024,1,36
386,13433,2024,1,36
387,13657,2024,1,36
388,13836,2024,1,36
389,23660,2024,1,36
390,41016,2024,1,36
391,41001,2024,1,36
392,41001,2024,1,36
393,41524,2024,1,36
394,41524,2024,1,36
395,41524,2024,1,36
396,41615,2024,1,36
397,41615,2024,1,36
398,41615,2024,1,36
399,41615,2024,1,36
400,68081,2024,1,36
401,68081,2024,1,36
402,05306,2024,1,36
403,05604,2024,2,36
404,19001,2024,1,36
405,19001,2024,1,36
406,52411,2024,1,36
407,17777,2024,3,36
408,19001,2024,1,36
409,19001,2024,1,36
410,25307,2024,1,36
411,68081,2024,1,36
412,68081,2024,1,36
413,68081,2024,1,36
414,68081,2024,1,36
415,68081,2024,1,36
416,76892,2024,1,36
417,08001,2024,1,36
418,13673,2024,1,36
419,15681,2024,6,36
420,17001,2024,1,36
421,19001,2024,1,36
422,19001,2024,1,36
423,41551,2024,1,36
424,50001,2024,1,36
425,50001,2024,1,36
426,50001,2024,1,36
427,73001,2024,1,36
428,05197,2024,1,36
429,11001,2024,1,36
430,11001,2024,1,36
431,11001,2024,1,36
432,18001,2024,1,36
433,18001,2024,1,36
434,18001,2024,1,36
435,18001,2024,1,36
436,19001,2024,1,36
437,41016,2024,1,36
438,41001,2024,1,36
439,41001,2024,1,36
440,41001,2024,1,36
441,41524,2024,1,36
442,41524,2024,1,36
443,41524,2024,1,36
444,41615,2024,1,36
445,41615,2024,1,36
446,41615,2024,1,36
447,41615,2024,1,36
448,41615,2024,1,36
449,86571,2024,1,36
450,68081,2024,1,36
451,68081,2024,1,36
452,68081,2024,1,36
453,68081,2024,1,36
454,68081,2024,1,36
455,05736,2024,1,36
456,13657,2024,1,36
457,15681,2024,3,36
458,15837,2024,1,36
459,18001,2024,1,36
460,18001,2024,1,36
461,18001,2024,1,36
462,18001,2024,1,36
463,18001,2024,1,36
464,19001,2024,1,36
465,23580,2024,1,36
466,23580,2024,1,36
467,23580,2024,1,36
468,41668,2024,1,36
469,50318,2024,1,36
470,50318,2024,1,36
471,50318,2024,1,36
472,63272,2024,1,36
473,68001,2024,1,36
474,68307,2024,1,36
475,68307,2024,1,36
476,68307,2024,1,36
477,73770,2024,1,36
478,76001,2024,1,36
479,76001,2024,1,36
480,76001,2024,1,36
481,08001,2024,1,36
482,19001,2024,1,36
483,25178,2024,1,36
484,08573,2024,1,36
485,19001,2024,1,36
486,25513,2024,1,36
487,25513,2024,1,36
488,25513,2024,1,36
489,25513,2024,1,36
490,25572,2024,1,36
491,15681,2024,5,36
492,13673,2024,1,36
493,19001,2024,1,36
494,50318,2024,1,36
495,50318,2024,1,36
496,76130,2024,1,36
497,76147,2024,1,36
498,13836,2024,1,36
499,13836,2024,1,36
500,50001,2024,1,36
501,50001,2024,1,36
502,73152,2024,1,36
503,76111,2024,1,36
504,05154,2024,1,36
505,15681,2024,3,36
506,17042,2024,6,36
507,41298,2024,1,36
508,63130,2024,1,36
509,68307,2024,1,36
510,68307,2024,1,36
511,68307,2024,1,36
512,05756,2024,1,36
513,15861,2024,1,36
514,23189,2024,1,36
515,23189,2024,1,36
516,25178,2024,1,36
517,25320,2024,1,36
518,25815,2024,1,36
519,41298,2024,1,36
520,50001,2024,1,36
521,86320,2024,1,36
522,68001,2024,1,36
523,68307,2024,1,36
524,68547,2024,1,36
525,76834,2024,1,36
526,05736,2024,1,36
527,15681,2024,7,36
528,17777,2024,4,36
529,25488,2024,1,36
530,25488,2024,1,36
531,25488,2024,1,36
532,68307,2024,1,36
533,68307,2024,1,36
534,68307,2024,1,36
535,76890,2024,2,36
536,11001,2024,1,36
537,17001,2024,1,36
538,17777,2024,1,36
539,41298,2024,1,36
540,68547,2024,1,36
541,68547,2024,1,36
542,68547,2024,1,36
543,76892,2024,1,36
544,41001,2024,2,36
545,41524,2024,4,36
546,41615,2024,4,36
547,41524,2024,4,36
548,41615,2024,4,36
549,68547,2024,1,36
550,68547,2024,1,36
551,68547,2024,1,36
552,15681,2024,3,36
553,17001,2024,2,36
554,17873,2024,1,36
555,27001,2024,2,36
556,23001,2024,1,36
557,23001,2024,1,36
558,23001,2024,1,36
559,23001,2024,1,36
560,23001,2024,1,36
561,23001,2024,1,36
562,25486,2024,1,36
563,25486,2024,1,36
564,25486,2024,1,36
565,41298,2024,1,36
566,41001,2024,2,36
567,41001,2024,1,36
568,41615,2024,3,36
569,41668,2024,1,36
570,05670,2024,4,36
571,25151,2024,1,36
572,41524,2024,4,36
573,41615,2024,3,36
574,86885,2024,1,36
575,68132,2024,1,36
576,68132,2024,1,36
577,68132,2024,1,36
578,68132,2024,1,36
579,68132,2024,1,36
580,68132,2024,1,36
581,68132,2024,1,36
582,76001,2024,1,36
583,76001,2024,1,36
584,05034,2024,1,36
585,15236,2024,5,36
586,15681,2024,2,36
587,41298,2024,1,36
588,41524,2024,4,36
589,52036,2024,1,36
590,52001,2024,1,36
591,52001,2024,1,36
592,68385,2024,1,36
593,73001,2024,1,36
594,76111,2024,2,36
595,05890,2024,1,36
596,15646,2024,2,36
597,15681,2024,6,36
598,23660,2024,1,36
599,47980,2024,1,36
600,68001,2024,1,36
601,68385,2024,1,36
602,68385,2024,1,36
603,68385,2024,1,36
604,68385,2024,1,36
605,68385,2024,1,36
606,68385,2024,1,36
607,68385,2024,1,36
608,68385,2024,1,36
609,73319,2024,1,36
610,73319,2024,1,36
611,73319,2024,1,36
612,76248,2024,1,36
613,13836,2024,1,36
614,13836,2024,1,36
615,41298,2024,1,36
616,68001,2024,1,36
617,76111,2024,1,36
618,76834,2024,1,36
619,05113,2024,1,36
620,76834,2024,1,36
621,05306,2024,2,36
622,05890,2024,4,36
623,15681,2024,3,36
624,25488,2024,1,36
625,15646,2024,1,36
626,15646,2024,1,36
627,15681,2024,1,36
628,25224,2024,1,36
629,25224,2024,1,36
630,25224,2024,1,36
631,41298,2024,1,36
632,47980,2024,1,36
633,54520,2024,1,36
634,54520,2024,1,36
635,76243,2024,2,36
636,05079,2024,2,36
637,15681,2024,5,36
638,17614,2024,1,36
639,25224,2024,1,36
640,25473,2024,1,36
641,25473,2024,1,36
642,25473,2024,1,36
643,86320,2024,1,36
644,63401,2024,1,36
645,73168,2024,1,36
646,05885,2024,1,36
647,15238,2024,1,36
648,17001,2024,1,36
649,23417,2024,1,36
650,23660,2024,1,36
651,52683,2024,1,36
652,54001,2024,3,36
653,73001,2024,1,36
654,73001,2024,1,36
655,73001,2024,1,36
656,73001,2024,1,36
657,73001,2024,1,36
658,76243,2024,1,36
659,76520,2024,1,36
660,05154,2024,1,36
661,05306,2024,2,36
