source_id,source_name,description,import_date,origin,dataset_url,end_point_url,start_date,end_date
87,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre desaparición forzada",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/c59y-p4sz/about_data,https://www.datos.gov.co/resource/c59y-p4sz.csv,1958-01-01,2024-04-20
88,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre atentados terroristas",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/4jfs-zi6u/about_data,https://www.datos.gov.co/resource/4jfs-zi6u.csv,1958-01-01,2024-04-20
89,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre secuestros",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/sg55-sszm/about_data,https://www.datos.gov.co/resource/sg55-sszm.csv,1958-01-01,2024-04-20
90,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre asesinatos selectivos",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/djr9-7s3i/about_data,https://www.datos.gov.co/resource/djr9-7s3i.csv,1958-01-01,2024-04-20
91,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre minas antipersona",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/52eu-ic7d/about_data,https://www.datos.gov.co/resource/52eu-ic7d.csv,1958-01-01,2024-04-20
92,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre violencia sexual",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/gtg9-672t/about_data,https://www.datos.gov.co/resource/gtg9-672t.csv,1958-01-01,2024-04-20
93,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre daños a bienes civiles",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/a2ga-ur2i/about_data,https://www.datos.gov.co/resource/a2ga-ur2i.csv,1958-01-01,2024-04-20
94,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre masacres",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/cj8q-zu3u/about_data,https://www.datos.gov.co/resource/cj8q-zu3u.csv,1958-01-01,2024-04-20
95,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre acciones belicas",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/chb6-bfmq/about_data,https://www.datos.gov.co/resource/chb6-bfmq.csv,1958-01-01,2024-04-20
96,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre ataques a poblados",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/g3r2-mc68/about_data,https://www.datos.gov.co/resource/g3r2-mc68.csv,1958-01-01,2024-04-20
97,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre las víctimas del conflicto armado. Este dataset contiene informacion sobre reclutamiento de ninos",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/fc55-h9nc/about_data,https://www.datos.gov.co/resource/fc55-h9nc.csv,1958-01-01,2024-04-20
98,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan victimas. Este dataset contiene informacion sobre desaparición forzada",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/9r7i-ek3s/about_data,https://www.datos.gov.co/resource/9r7i-ek3s.csv,1958-01-01,2024-04-20
99,Datos abiertos de colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan victimas. Este dataset contiene informacion sobre atentados terroristas",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/yfd7-8c9d/about_data,https://www.datos.gov.co/resource/yfd7-8c9d.csv,1958-01-01,2024-04-20
103,Datos abiertos de Colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan víctimas. Este dataset contiene información sobre violencia sexual",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/k9qg-2svz/about_data,https://www.datos.gov.co/resource/k9qg-2svz.csv,1958-01-01,2024-04-20
104,Datos abiertos de Colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan víctimas. Este dataset contiene información sobre daños a bienes civiles",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/x27p-cm5t/about_data,https://www.datos.gov.co/resource/x27p-cm5t.csv,1958-01-01,2024-04-20
105,Datos abiertos de Colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan víctimas. Este dataset contiene información sobre masacres",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/d78j-f66e/about_data,https://www.datos.gov.co/resource/d78j-f66e.csv,1958-01-01,2024-04-20
106,Datos abiertos de Colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan víctimas. Este dataset contiene información sobre acciones bélicas",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/39qq-a72j/about_data,https://www.datos.gov.co/resource/39qq-a72j.csv,1958-01-01,2024-04-20
107,Datos abiertos de Colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan víctimas. Este dataset contiene información sobre ataques a poblados",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/3xsy-8xcp/about_data,https://www.datos.gov.co/resource/3xsy-8xcp.csv,1958-01-01,2024-04-20
108,Datos abiertos de Colombia,"Contiene microdata del Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC), que recopila datos sobre los casos de violencia del conflicto armado donde se contabilizan víctimas. Este dataset contiene información sobre reclutamiento de niños",2024-10-05,Sistema de Información de Eventos de Violencia del Conflicto Armado en Colombia (SIEVCAC),https://www.datos.gov.co/Inclusi-n-Social-y-Reconciliaci-n/Sistema-de-Informaci-n-de-Eventos-de-Violencia-del/hzd2-7ea7/about_data,https://www.datos.gov.co/resource/hzd2-7ea7.csv,1958-01-01,2024-04-20
