id,codigodane,numerodesolicitantes,source_id
724,25535,6,119
725,25572,24,119
726,25572,6,119
727,25572,1,119
728,25580,24,119
729,25580,19,119
730,25592,3,119
731,25592,5,119
732,25594,2,119
733,25594,5,119
734,25596,25,119
735,25596,17,119
736,25612,2,119
737,25612,1,119
738,25645,1,119
739,25645,1,119
740,25649,9,119
741,25649,2,119
742,25653,7,119
743,25653,5,119
744,25658,3,119
745,25736,1,119
746,25736,2,119
747,25740,0,119
748,25740,6,119
749,25743,36,119
750,25743,30,119
751,25743,2,119
752,25745,1,119
753,25745,2,119
754,25754,21,119
755,25777,2,119
756,25781,1,119
757,25781,1,119
758,25785,1,119
759,25797,1,119
760,25797,3,119
761,25799,0,119
762,25799,2,119
763,25805,14,119
764,25805,10,119
765,25815,6,119
766,25815,3,119
767,25817,1,119
768,25823,34,119
769,25823,24,119
770,25839,26,119
771,25839,5,119
772,25841,2,119
773,25841,3,119
774,25845,2,119
775,25851,3,119
776,25851,1,119
777,25506,27,119
778,25506,18,119
779,25862,9,119
780,25862,11,119
781,25867,4,119
782,25867,3,119
783,25871,3,119
784,25871,3,119
785,25873,1,119
786,25873,3,119
787,25875,5,119
788,25875,2,119
789,25878,64,119
790,25878,1,119
791,25899,6,119
792,94343,2,119
793,94888,1,119
794,94883,3,119
795,95015,117,119
796,95015,1,119
797,41013,3,119
798,41013,2,119
799,41016,10,119
800,41026,1,119
801,41026,3,119
802,41078,4,119
803,41244,1,119
804,41298,55,119
805,41319,26,119
806,41319,12,119
807,41349,9,119
808,41349,9,119
809,41357,49,119
810,41359,42,119
811,41378,13,119
812,41378,7,119
813,41396,70,119
814,41503,13,119
815,41518,2,119
816,41518,2,119
817,41524,31,119
818,41524,19,119
819,41548,1,119
820,41548,1,119
821,41551,55,119
822,41615,10,119
823,41660,19,119
824,41660,27,119
825,41668,62,119
826,41668,41,119
827,41676,25,119
828,41676,18,119
829,41791,6,119
830,41791,3,119
831,41799,66,119
832,41801,14,119
833,41801,1,119
834,41797,2,119
835,41797,4,119
836,41797,1,119
837,41807,2,119
838,41807,2,119
839,41872,27,119
840,41872,13,119
841,41885,1,119
842,44035,14,119
843,44078,61,119
844,44098,38,119
845,44110,39,119
846,44110,25,119
847,44279,31,119
848,44420,7,119
849,44420,6,119
850,44430,30,119
851,44430,1,119
852,44560,1,119
853,44650,30,119
854,44650,1,119
855,44847,2,119
856,44847,1,119
857,44855,18,119
858,44855,7,119
859,44855,1,119
860,44874,22,119
861,47030,17,119
862,47161,11,119
863,47161,7,119
864,47170,1,119
865,47189,1,119
866,47189,1,119
867,47205,4,119
868,47205,1,119
869,47258,88,119
870,47268,17,119
871,47268,3,119
872,47318,10,119
873,47318,5,119
874,47460,9,119
875,47541,10,119
876,47541,3,119
877,47541,1,119
878,47545,14,119
879,47545,8,119
880,47551,1,119
881,47570,184,119
882,47570,82,119
883,47570,1,119
884,47605,313,119
885,47605,345,119
886,47660,158,119
887,47675,106,119
888,47675,31,119
889,47692,5,119
890,47692,6,119
891,47692,2,119
892,47703,3,119
893,47703,2,119
894,47707,83,119
895,47707,40,119
896,47720,2,119
897,47720,2,119
898,47001,20,119
899,47001,2,119
900,47960,24,119
901,47960,13,119
902,50006,148,119
903,50006,99,119
904,50110,23,119
905,50110,12,119
906,50124,34,119
907,50124,18,119
908,50150,8,119
909,50150,4,119
910,50223,38,119
911,50223,16,119
912,50226,17,119
913,50226,15,119
914,50245,16,119
915,50245,10,119
916,50251,0,119
917,50287,59,119
918,50287,41,119
919,50313,46,119
920,50318,21,119
921,50318,9,119
922,50400,89,119
923,50325,2,119
924,50450,131,119
925,50568,324,119
926,50568,5,119
927,50577,1,119
928,50573,1,119
929,50573,3,119
930,50590,1,119
931,50606,10,119
932,50680,8,119
933,50680,15,119
934,50683,80,119
935,50686,12,119
936,50686,1,119
937,50689,1,119
938,50689,1,119
939,50001,1,119
940,50711,3,119
941,52019,91,119
942,52022,2,119
943,52036,5,119
944,52051,0,119
945,52051,2,119
946,52083,10,119
947,52083,9,119
948,52110,1,119
949,52240,1,119
950,52240,4,119
951,52203,30,119
952,52207,9,119
953,52210,1,119
954,52210,2,119
955,52215,6,119
956,52215,2,119
957,52224,1,119
958,52224,2,119
959,52227,14,119
960,52227,3,119
961,52254,15,119
962,52254,4,119
963,52258,1,119
964,52260,13,119
965,52520,15,119
966,52520,1,119
967,52287,5,119
968,52287,8,119
969,52317,2,119
970,52320,4,119
971,52320,2,119
972,52352,1,119
973,52378,15,119
974,52381,7,119
975,52381,20,119
976,52390,20,119
977,52390,13,119
978,52411,21,119
979,52411,21,119
980,52418,271,119
981,52427,80,119
982,52427,54,119
983,52435,18,119
984,52473,20,119
985,52473,27,119
986,52490,40,119
987,52560,7,119
988,52560,5,119
989,52573,6,119
990,52585,1,119
991,52678,67,119
992,52685,4,119
993,52685,7,119
994,52687,27,119
995,52693,41,119
996,52694,2,119
997,52694,3,119
998,52683,6,119
999,52683,10,119
1000,52699,44,119
1001,52786,6,119
1002,52786,8,119
1003,52835,2,119
1004,52835,3,119
1005,52838,3,119
1006,52838,3,119
1007,52885,2,119
1008,54003,142,119
1009,54099,4,119
1010,54099,1,119
1011,54109,18,119
1012,54109,10,119
1013,54128,33,119
1014,54172,3,119
1015,54172,4,119
1016,54174,32,119
1017,54206,45,119
1018,54001,0,119
1019,54223,6,119
1020,54223,8,119
1021,54239,4,119
1022,54239,7,119
1023,54245,104,119
1024,54245,49,119
1025,54245,1,119
1026,54261,114,119
1027,54261,1,119
1028,54313,1,119
1029,54313,2,119
1030,54344,27,119
1031,54347,1,119
1032,54347,1,119
1033,54385,70,119
1034,54398,18,119
1035,54398,14,119
1036,54377,5,119
1037,54377,1,119
1038,54405,20,119
1039,54405,14,119
1040,54418,2,119
1041,54418,2,119
1042,54498,138,119
1043,54498,14,119
1044,54518,3,119
1045,54518,3,119
1046,54520,2,119
1047,54553,3,119
1048,54599,7,119
1049,54599,2,119
1050,54660,15,119
1051,54660,10,119
1052,54673,4,119
1053,54673,3,119
1054,54680,4,119
1055,54680,4,119
1056,54680,1,119
1057,54743,1,119
1058,54743,1,119
1059,54800,26,119
1060,54820,16,119
1061,54871,1,119
1062,54874,26,119
1063,54874,32,119
1064,86219,4,119
1065,86219,2,119
1066,86568,0,119
1067,86755,33,119
1068,86749,4,119
1069,86749,5,119
1070,86865,3,119
1071,63001,10,119
1072,63001,0,119
1073,63001,20,119
1074,63111,1,119
1075,63111,1,119
1076,63130,16,119
1077,63130,14,119
1078,63190,3,119
1079,63190,3,119
1080,63212,12,119
1081,63212,8,119
1082,63272,2,119
1083,63302,20,119
1084,63401,3,119
1085,63401,5,119
1086,63470,3,119
1087,63470,3,119
1088,63548,3,119
1089,63594,3,119
1090,63690,7,119
1091,63690,1,119
1092,66045,17,119
1093,66045,19,119
1094,66075,3,119
1095,66075,2,119
1096,66088,22,119
1097,66170,18,119
1098,66170,7,119
1099,66318,23,119
1100,66318,32,119
1101,66318,1,119
1102,66383,19,119
1103,66383,12,119
1104,66400,3,119
1105,66400,3,119
1106,66440,13,119
1107,66440,2,119
1108,66456,66,119
1109,66456,33,119
1110,66572,185,119
1111,66682,7,119
1112,66682,3,119
1113,66687,34,119
1114,66687,21,119
1115,88001,1,119
1116,68013,4,119
1117,68013,1,119
1118,68020,4,119
1119,68020,8,119
1120,68051,1,119
1121,68077,2,119
1122,68081,2,119
1123,68092,57,119
1124,68092,54,119
1125,68101,1,119
1126,68121,1,119
1127,68132,5,119
1128,68147,3,119
1129,68152,2,119
1130,68152,1,119
1131,68160,1,119
1132,68160,0,119
1133,68162,3,119
1134,68162,7,119
1135,68167,5,119
1136,68169,7,119
1137,68176,8,119
1138,68176,4,119
1139,68179,1,119
1140,68179,1,119
1141,68190,3,119
1142,68207,10,119
1143,68207,12,119
1144,68209,1,119
1145,68211,1,119
1146,68217,4,119
1147,68229,0,119
1148,68235,155,119
1149,68245,2,119
1150,68245,1,119
1151,68250,46,119
1152,68250,57,119
1153,68255,56,119
1154,68264,2,119
1155,68264,1,119
1156,68266,3,119
1157,68271,4,119
1158,68271,3,119
1159,68276,12,119
1160,68276,7,119
1161,68296,4,119
1162,68296,4,119
1163,68298,5,119
1164,68298,1,119
1165,68307,52,119
1166,68307,44,119
1167,68307,1,119
1168,68318,4,119
1169,68320,2,119
1170,68324,1,119
1171,68324,2,119
1172,68327,1,119
1173,68344,7,119
1174,68344,2,119
1175,68368,2,119
1176,68368,2,119
1177,68377,13,119
1178,68397,10,119
1179,68397,5,119
1180,68418,2,119
1181,68418,3,119
1182,68425,11,119
1183,68432,4,119
1184,68432,7,119
1185,68444,45,119
1186,68464,6,119
1187,68464,6,119
1188,68468,3,119
1189,68468,3,119
1190,68500,5,119
1191,68500,2,119
1192,68502,3,119
1193,68533,1,119
1194,68547,23,119
1195,68572,1,119
1196,68572,4,119
1197,68575,89,119
1198,68575,16,119
1199,68669,10,119
1200,68673,2,119
1201,68679,3,119
1202,68679,1,119
1203,68682,2,119
1204,68682,1,119
1205,68684,1,119
1206,68686,17,119
1207,68686,9,119
1208,68689,1,119
1209,68689,1,119
1210,68705,2,119
1211,68720,15,119
1212,68755,1,119
1213,68755,1,119
1214,68770,11,119
1215,68773,16,119
1216,68773,18,119
1217,68780,25,119
1218,68780,9,119
1219,68820,8,119
1220,68855,1,119
1221,68872,2,119
1222,68895,25,119
1223,68895,16,119
1224,70110,4,119
1225,70124,4,119
1226,70124,1,119
1227,70230,91,119
1228,70221,1,119
1229,70265,17,119
1230,70265,14,119
1231,70400,2,119
1232,70400,3,119
1233,70429,57,119
1234,70429,31,119
1235,70523,4,119
1236,70670,5,119
1237,70670,2,119
1238,70670,2,119
1239,70678,26,119
1240,70702,12,119
1241,70702,6,119
1242,70708,16,119
1243,70708,12,119
1244,70717,30,119
1245,70820,13,119
1246,70742,29,119
1247,70742,13,119
1248,70001,61,119
1249,70771,23,119
1250,70823,89,119
1251,70823,37,119
1252,73024,22,119
1253,73024,17,119
1254,73026,54,119
1255,73030,46,119
1256,73030,26,119
1257,73043,99,119
1258,73055,19,119
1259,73124,51,119
1260,73148,2,119
1261,73148,1,119
1262,73152,38,119
1263,73200,1,119
1264,73200,2,119
1265,73217,140,119
1266,73226,59,119
1267,73226,2,119
1268,73268,2,119
1269,73268,0,119
1270,73270,24,119
1271,73275,1,119
1272,73275,1,119
1273,73275,1,119
1274,73283,44,119
1275,73283,29,119
1276,73319,9,119
1277,73319,5,119
1278,73347,31,119
1279,73347,24,119
1280,73347,1,119
1281,73349,7,119
1282,73349,8,119
1283,73001,1,119
1284,73411,197,119
1285,73443,24,119
1286,73449,6,119
1287,73461,11,119
1288,73461,27,119
1289,73504,1,119
1290,73520,28,119
1291,73520,21,119
1292,73585,32,119
1293,73585,18,119
1294,73671,2,119
1295,73671,1,119
1296,73675,4,119
1297,73678,56,119
1298,73678,26,119
1299,73686,27,119
1300,73686,20,119
1301,73770,2,119
1302,73770,5,119
1303,73854,72,119
1304,73854,88,119
1305,73861,80,119
1306,73861,57,119
1307,73873,85,119
1308,73873,54,119
1309,73873,1,119
1310,76020,3,119
1311,76020,6,119
1312,76036,10,119
1313,76036,4,119
1314,76041,5,119
1315,76041,10,119
1316,76054,5,119
1317,76054,2,119
1318,76109,1,119
1319,76109,5,119
1320,76113,178,119
1321,76113,116,119
1322,76122,5,119
1323,76126,52,119
1324,76126,1,119
1325,76130,4,119
1326,76130,7,119
1327,76147,6,119
1328,76243,15,119
1329,76243,15,119
1330,76246,25,119
1331,76246,17,119
1332,76248,18,119
1333,76250,57,119
1334,76275,39,119
1335,76275,31,119
1336,76275,1,119
1337,76306,32,119
1338,76306,14,119
1339,76306,0,119
1340,76318,11,119
1341,76318,9,119
1342,76111,3,119
1343,76364,3,119
1344,76364,3,119
1345,76377,28,119
1346,76400,5,119
1347,76403,1,119
1348,76403,4,119
1349,76520,87,119
1350,76520,46,119
1351,76563,63,119
1352,76563,65,119
1353,76563,3,119
1354,76606,12,119
1355,76606,13,119
1356,76606,1,119
1357,76622,25,119
1358,76670,34,119
1359,76670,40,119
1360,76736,1,119
1361,76823,3,119
1362,76823,13,119
1363,76845,3,119
1364,76845,4,119
1365,76863,8,119
1366,76863,8,119
1367,76869,10,119
1368,76869,7,119
1369,76890,9,119
1370,76890,8,119
1371,76892,5,119
1372,76895,14,119
1373,76895,9,119
1374,97511,5,119
1375,97511,8,119
1376,97666,1,119
1377,97666,1,119
1378,97889,1,119
1379,99773,1,119
1380,99773,1,119
1381,99524,1,119
1382,99524,1,119
1383,99001,4,119
1384,99001,1,119
1385,44001,148,119
1386,08832,42,119
1387,44279,18,119
1388,13873,84,119
1389,50400,85,119
1390,44378,12,119
1391,50450,1,119
1392,68770,8,119
1393,05284,98,119
1394,27425,23,119
1395,15377,25,119
1396,99624,21,119
1397,68266,2,119
1398,20383,393,119
1399,70771,38,119
1400,13042,67,119
1401,70233,16,119
1402,25245,4,119
1403,05576,10,119
1404,50313,53,119
1405,47258,72,119
1406,44035,14,119
1407,68147,8,119
1408,05858,58,119
1409,05576,8,119
1410,70215,6,119
1411,68385,58,119
1412,05480,375,119
1413,73043,75,119
1414,05792,11,119
1415,44378,11,119
1416,76233,4,119
1417,54261,97,119
1418,73555,267,119
1419,70713,2,119
1420,52678,46,119
1421,19785,36,119
1422,18029,18,119
1423,19100,167,119
1424,05308,20,119
1425,52110,43,119
1426,41799,33,119
1427,17614,48,119
1428,19392,58,119
1429,05107,52,119
1430,25662,17,119
1431,94001,8,119
1432,73671,8,119
1433,13838,21,119
1434,41483,23,119
1435,15572,47,119
1436,13030,19,119
1437,66088,29,119
1438,68615,95,119
1439,52079,146,119
1440,44078,89,119
1441,41357,29,119
1442,41770,27,119
1443,85440,15,119
1444,68861,5,119
1445,54051,31,119
1446,54385,70,119
1447,52699,39,119
1448,25843,4,119
1449,94886,1,119
1450,85300,23,119
1451,86755,31,119
1452,63302,14,119
1453,47058,65,119
1454,27025,13,119
1455,05040,50,119
1456,85440,20,119
1457,41503,6,119
1458,81591,29,119
1459,13473,119,119
1460,19780,52,119
1461,19300,4,119
1462,13836,20,119
1463,68318,8,119
1464,44098,17,119
1465,20550,178,119
1466,05670,125,119
1467,25438,76,119
1468,41483,24,119
1469,73563,59,119
1470,73408,59,119
1471,25718,17,119
1472,23001,3,119
1473,17050,8,119
1474,41548,2,119
1475,13657,132,119
1476,47189,332,119
1477,23090,67,119
1478,70678,68,119
1479,18785,87,119
1480,41306,42,119
1481,20770,173,119
1482,05310,13,119
1483,05887,47,119
1484,70508,2,119
1485,05761,8,119
1486,05250,485,119
1487,27073,59,119
1488,05736,83,119
1489,76497,15,119
