id,indicator,dane_code,value,label,year,source_id
61,GRUPO DE DOTACIONES INICIALES,05364,,G3 NIVEL MEDIO,2016,125
62,GRUPO DE DOTACIONES INICIALES,05368,,G1 NIVEL ALTO,2016,125
63,GRUPO DE DOTACIONES INICIALES,05376,,G1 NIVEL ALTO,2016,125
64,GRUPO DE DOTACIONES INICIALES,05380,,G1 NIVEL ALTO,2016,125
65,GRUPO DE DOTACIONES INICIALES,05390,,G2 NIVEL MEDIO ALTO,2016,125
66,GRUPO DE DOTACIONES INICIALES,05400,,G2 NIVEL MEDIO ALTO,2016,125
67,GRUPO DE DOTACIONES INICIALES,05411,,G4 NIVEL MEDIO BAJO,2016,125
68,GRUPO DE DOTACIONES INICIALES,05425,,G2 NIVEL MEDIO ALTO,2016,125
69,GRUPO DE DOTACIONES INICIALES,05440,,G1 NIVEL ALTO,2016,125
70,GRUPO DE DOTACIONES INICIALES,05467,,G2 NIVEL MEDIO ALTO,2016,125
71,GRUPO DE DOTACIONES INICIALES,05475,,G3 NIVEL MEDIO,2016,125
72,GRUPO DE DOTACIONES INICIALES,05480,,G4 NIVEL MEDIO BAJO,2016,125
73,GRUPO DE DOTACIONES INICIALES,05483,,G5 NIVEL BAJO,2016,125
74,GRUPO DE DOTACIONES INICIALES,05490,,G5 NIVEL BAJO,2016,125
75,GRUPO DE DOTACIONES INICIALES,05495,,G4 NIVEL MEDIO BAJO,2016,125
76,GRUPO DE DOTACIONES INICIALES,05501,,G3 NIVEL MEDIO,2016,125
77,GRUPO DE DOTACIONES INICIALES,05541,,G2 NIVEL MEDIO ALTO,2016,125
78,GRUPO DE DOTACIONES INICIALES,05543,,G5 NIVEL BAJO,2016,125
79,GRUPO DE DOTACIONES INICIALES,05576,,G2 NIVEL MEDIO ALTO,2016,125
80,GRUPO DE DOTACIONES INICIALES,05579,,G1 NIVEL ALTO,2016,125
81,GRUPO DE DOTACIONES INICIALES,05585,,G1 NIVEL ALTO,2016,125
82,GRUPO DE DOTACIONES INICIALES,05591,,G2 NIVEL MEDIO ALTO,2016,125
83,GRUPO DE DOTACIONES INICIALES,05604,,G2 NIVEL MEDIO ALTO,2016,125
84,GRUPO DE DOTACIONES INICIALES,05607,,G1 NIVEL ALTO,2016,125
85,GRUPO DE DOTACIONES INICIALES,05615,,G1 NIVEL ALTO,2016,125
86,GRUPO DE DOTACIONES INICIALES,05628,,G4 NIVEL MEDIO BAJO,2016,125
87,GRUPO DE DOTACIONES INICIALES,05631,,G1 NIVEL ALTO,2016,125
88,GRUPO DE DOTACIONES INICIALES,05642,,G3 NIVEL MEDIO,2016,125
89,GRUPO DE DOTACIONES INICIALES,05647,,G3 NIVEL MEDIO,2016,125
90,GRUPO DE DOTACIONES INICIALES,05649,,G1 NIVEL ALTO,2016,125
91,GRUPO DE DOTACIONES INICIALES,05652,,G3 NIVEL MEDIO,2016,125
92,GRUPO DE DOTACIONES INICIALES,05656,,G2 NIVEL MEDIO ALTO,2016,125
93,GRUPO DE DOTACIONES INICIALES,05658,,G2 NIVEL MEDIO ALTO,2016,125
94,GRUPO DE DOTACIONES INICIALES,05659,,G5 NIVEL BAJO,2016,125
95,GRUPO DE DOTACIONES INICIALES,05660,,G3 NIVEL MEDIO,2016,125
96,GRUPO DE DOTACIONES INICIALES,05664,,G1 NIVEL ALTO,2016,125
97,GRUPO DE DOTACIONES INICIALES,05665,,G4 NIVEL MEDIO BAJO,2016,125
98,GRUPO DE DOTACIONES INICIALES,05667,,G2 NIVEL MEDIO ALTO,2016,125
99,GRUPO DE DOTACIONES INICIALES,05670,,G3 NIVEL MEDIO,2016,125
100,GRUPO DE DOTACIONES INICIALES,05674,,G3 NIVEL MEDIO,2016,125
101,GRUPO DE DOTACIONES INICIALES,05679,,G3 NIVEL MEDIO,2016,125
102,GRUPO DE DOTACIONES INICIALES,05686,,G1 NIVEL ALTO,2016,125
103,GRUPO DE DOTACIONES INICIALES,05690,,G2 NIVEL MEDIO ALTO,2016,125
104,GRUPO DE DOTACIONES INICIALES,05697,,G1 NIVEL ALTO,2016,125
105,GRUPO DE DOTACIONES INICIALES,05736,,G2 NIVEL MEDIO ALTO,2016,125
106,GRUPO DE DOTACIONES INICIALES,05756,,G1 NIVEL ALTO,2016,125
107,GRUPO DE DOTACIONES INICIALES,05761,,G2 NIVEL MEDIO ALTO,2016,125
108,GRUPO DE DOTACIONES INICIALES,05789,,G2 NIVEL MEDIO ALTO,2016,125
109,GRUPO DE DOTACIONES INICIALES,05790,,G4 NIVEL MEDIO BAJO,2016,125
110,GRUPO DE DOTACIONES INICIALES,05792,,G2 NIVEL MEDIO ALTO,2016,125
111,GRUPO DE DOTACIONES INICIALES,05809,,G3 NIVEL MEDIO,2016,125
112,GRUPO DE DOTACIONES INICIALES,05819,,G2 NIVEL MEDIO ALTO,2016,125
113,GRUPO DE DOTACIONES INICIALES,05837,,G2 NIVEL MEDIO ALTO,2016,125
114,GRUPO DE DOTACIONES INICIALES,05842,,G4 NIVEL MEDIO BAJO,2016,125
115,GRUPO DE DOTACIONES INICIALES,05847,,G4 NIVEL MEDIO BAJO,2016,125
116,GRUPO DE DOTACIONES INICIALES,05854,,G4 NIVEL MEDIO BAJO,2016,125
117,GRUPO DE DOTACIONES INICIALES,05856,,G1 NIVEL ALTO,2016,125
118,GRUPO DE DOTACIONES INICIALES,05858,,G2 NIVEL MEDIO ALTO,2016,125
119,GRUPO DE DOTACIONES INICIALES,05861,,G2 NIVEL MEDIO ALTO,2016,125
120,GRUPO DE DOTACIONES INICIALES,05873,,G3 NIVEL MEDIO,2016,125
121,GRUPO DE DOTACIONES INICIALES,05885,,G3 NIVEL MEDIO,2016,125
122,GRUPO DE DOTACIONES INICIALES,05887,,G2 NIVEL MEDIO ALTO,2016,125
123,GRUPO DE DOTACIONES INICIALES,05890,,G4 NIVEL MEDIO BAJO,2016,125
124,GRUPO DE DOTACIONES INICIALES,05893,,G1 NIVEL ALTO,2016,125
125,GRUPO DE DOTACIONES INICIALES,05895,,G3 NIVEL MEDIO,2016,125
126,GRUPO DE DOTACIONES INICIALES,08001,,CIUDADES,2016,125
127,GRUPO DE DOTACIONES INICIALES,08078,,G2 NIVEL MEDIO ALTO,2016,125
128,GRUPO DE DOTACIONES INICIALES,08137,,G4 NIVEL MEDIO BAJO,2016,125
129,GRUPO DE DOTACIONES INICIALES,08141,,G5 NIVEL BAJO,2016,125
130,GRUPO DE DOTACIONES INICIALES,08296,,G1 NIVEL ALTO,2016,125
131,GRUPO DE DOTACIONES INICIALES,08372,,G3 NIVEL MEDIO,2016,125
132,GRUPO DE DOTACIONES INICIALES,08421,,G5 NIVEL BAJO,2016,125
133,GRUPO DE DOTACIONES INICIALES,08433,,G2 NIVEL MEDIO ALTO,2016,125
134,GRUPO DE DOTACIONES INICIALES,08436,,G4 NIVEL MEDIO BAJO,2016,125
135,GRUPO DE DOTACIONES INICIALES,08520,,G3 NIVEL MEDIO,2016,125
136,GRUPO DE DOTACIONES INICIALES,08549,,G4 NIVEL MEDIO BAJO,2016,125
137,GRUPO DE DOTACIONES INICIALES,08558,,G3 NIVEL MEDIO,2016,125
138,GRUPO DE DOTACIONES INICIALES,08560,,G4 NIVEL MEDIO BAJO,2016,125
139,GRUPO DE DOTACIONES INICIALES,08573,,G1 NIVEL ALTO,2016,125
140,GRUPO DE DOTACIONES INICIALES,08606,,G5 NIVEL BAJO,2016,125
141,GRUPO DE DOTACIONES INICIALES,08634,,G2 NIVEL MEDIO ALTO,2016,125
142,GRUPO DE DOTACIONES INICIALES,08638,,G3 NIVEL MEDIO,2016,125
143,GRUPO DE DOTACIONES INICIALES,08675,,G5 NIVEL BAJO,2016,125
144,GRUPO DE DOTACIONES INICIALES,08685,,G2 NIVEL MEDIO ALTO,2016,125
145,GRUPO DE DOTACIONES INICIALES,08758,,G1 NIVEL ALTO,2016,125
146,GRUPO DE DOTACIONES INICIALES,08770,,G2 NIVEL MEDIO ALTO,2016,125
147,GRUPO DE DOTACIONES INICIALES,08832,,G2 NIVEL MEDIO ALTO,2016,125
148,GRUPO DE DOTACIONES INICIALES,08849,,G3 NIVEL MEDIO,2016,125
149,GRUPO DE DOTACIONES INICIALES,11001,,CIUDADES,2016,125
150,GRUPO DE DOTACIONES INICIALES,13001,,CIUDADES,2016,125
151,GRUPO DE DOTACIONES INICIALES,13006,,G5 NIVEL BAJO,2016,125
152,GRUPO DE DOTACIONES INICIALES,13030,,G5 NIVEL BAJO,2016,125
153,GRUPO DE DOTACIONES INICIALES,13042,,G5 NIVEL BAJO,2016,125
154,GRUPO DE DOTACIONES INICIALES,13052,,G3 NIVEL MEDIO,2016,125
155,GRUPO DE DOTACIONES INICIALES,13062,,G5 NIVEL BAJO,2016,125
156,GRUPO DE DOTACIONES INICIALES,13074,,G5 NIVEL BAJO,2016,125
157,GRUPO DE DOTACIONES INICIALES,13140,,G5 NIVEL BAJO,2016,125
158,GRUPO DE DOTACIONES INICIALES,13160,,G1 NIVEL ALTO,2016,125
159,GRUPO DE DOTACIONES INICIALES,13188,,G4 NIVEL MEDIO BAJO,2016,125
160,GRUPO DE DOTACIONES INICIALES,13212,,G5 NIVEL BAJO,2016,125
161,GRUPO DE DOTACIONES INICIALES,13222,,G4 NIVEL MEDIO BAJO,2016,125
162,GRUPO DE DOTACIONES INICIALES,13244,,G4 NIVEL MEDIO BAJO,2016,125
163,GRUPO DE DOTACIONES INICIALES,13248,,G4 NIVEL MEDIO BAJO,2016,125
164,GRUPO DE DOTACIONES INICIALES,13268,,G5 NIVEL BAJO,2016,125
165,GRUPO DE DOTACIONES INICIALES,13300,,G5 NIVEL BAJO,2016,125
166,GRUPO DE DOTACIONES INICIALES,13430,,G3 NIVEL MEDIO,2016,125
167,GRUPO DE DOTACIONES INICIALES,13433,,G4 NIVEL MEDIO BAJO,2016,125
168,GRUPO DE DOTACIONES INICIALES,13440,,G5 NIVEL BAJO,2016,125
169,GRUPO DE DOTACIONES INICIALES,13442,,G5 NIVEL BAJO,2016,125
170,GRUPO DE DOTACIONES INICIALES,13458,,G5 NIVEL BAJO,2016,125
3365,MDM,05368,46.4942,,2016,125
171,GRUPO DE DOTACIONES INICIALES,13468,,G4 NIVEL MEDIO BAJO,2016,125
172,GRUPO DE DOTACIONES INICIALES,13473,,G5 NIVEL BAJO,2016,125
173,GRUPO DE DOTACIONES INICIALES,13490,,G5 NIVEL BAJO,2016,125
174,GRUPO DE DOTACIONES INICIALES,13549,,G5 NIVEL BAJO,2016,125
175,GRUPO DE DOTACIONES INICIALES,13580,,G5 NIVEL BAJO,2016,125
176,GRUPO DE DOTACIONES INICIALES,13600,,G5 NIVEL BAJO,2016,125
177,GRUPO DE DOTACIONES INICIALES,13620,,G5 NIVEL BAJO,2016,125
178,GRUPO DE DOTACIONES INICIALES,13647,,G4 NIVEL MEDIO BAJO,2016,125
179,GRUPO DE DOTACIONES INICIALES,13650,,G5 NIVEL BAJO,2016,125
180,GRUPO DE DOTACIONES INICIALES,13654,,G4 NIVEL MEDIO BAJO,2016,125
181,GRUPO DE DOTACIONES INICIALES,13655,,G5 NIVEL BAJO,2016,125
182,GRUPO DE DOTACIONES INICIALES,13657,,G4 NIVEL MEDIO BAJO,2016,125
183,GRUPO DE DOTACIONES INICIALES,13667,,G5 NIVEL BAJO,2016,125
184,GRUPO DE DOTACIONES INICIALES,13670,,G3 NIVEL MEDIO,2016,125
185,GRUPO DE DOTACIONES INICIALES,13673,,G5 NIVEL BAJO,2016,125
186,GRUPO DE DOTACIONES INICIALES,13683,,G3 NIVEL MEDIO,2016,125
187,GRUPO DE DOTACIONES INICIALES,13688,,G4 NIVEL MEDIO BAJO,2016,125
188,GRUPO DE DOTACIONES INICIALES,13744,,G4 NIVEL MEDIO BAJO,2016,125
189,GRUPO DE DOTACIONES INICIALES,13760,,G4 NIVEL MEDIO BAJO,2016,125
190,GRUPO DE DOTACIONES INICIALES,13780,,G4 NIVEL MEDIO BAJO,2016,125
191,GRUPO DE DOTACIONES INICIALES,13810,,G5 NIVEL BAJO,2016,125
192,GRUPO DE DOTACIONES INICIALES,13836,,G1 NIVEL ALTO,2016,125
193,GRUPO DE DOTACIONES INICIALES,13838,,G2 NIVEL MEDIO ALTO,2016,125
194,GRUPO DE DOTACIONES INICIALES,13873,,G3 NIVEL MEDIO,2016,125
195,GRUPO DE DOTACIONES INICIALES,13894,,G3 NIVEL MEDIO,2016,125
196,GRUPO DE DOTACIONES INICIALES,15001,,G1 NIVEL ALTO,2016,125
197,GRUPO DE DOTACIONES INICIALES,15022,,G2 NIVEL MEDIO ALTO,2016,125
198,GRUPO DE DOTACIONES INICIALES,15047,,G2 NIVEL MEDIO ALTO,2016,125
199,GRUPO DE DOTACIONES INICIALES,15051,,G1 NIVEL ALTO,2016,125
200,GRUPO DE DOTACIONES INICIALES,15087,,G2 NIVEL MEDIO ALTO,2016,125
201,GRUPO DE DOTACIONES INICIALES,15090,,G3 NIVEL MEDIO,2016,125
202,GRUPO DE DOTACIONES INICIALES,15092,,G3 NIVEL MEDIO,2016,125
203,GRUPO DE DOTACIONES INICIALES,15097,,G4 NIVEL MEDIO BAJO,2016,125
204,GRUPO DE DOTACIONES INICIALES,15104,,G1 NIVEL ALTO,2016,125
205,GRUPO DE DOTACIONES INICIALES,15106,,G3 NIVEL MEDIO,2016,125
206,GRUPO DE DOTACIONES INICIALES,15109,,G4 NIVEL MEDIO BAJO,2016,125
207,GRUPO DE DOTACIONES INICIALES,15114,,G1 NIVEL ALTO,2016,125
208,GRUPO DE DOTACIONES INICIALES,15131,,G3 NIVEL MEDIO,2016,125
