id,dane_code,year,species,total,source_id
145,05264,2019,OVINOS,223,121
146,05264,2019,BUFALOS,1,121
147,05266,2019,CAPRINOS,18,121
148,05266,2019,EQUINOS,1061,121
149,05266,2019,OVINOS,18,121
150,05266,2019,BUFALOS,2,121
151,05282,2019,CAPRINOS,126,121
152,05282,2019,EQUINOS,3270,121
153,05282,2019,OVINOS,64,121
154,05284,2019,CAPRINOS,91,121
155,05284,2019,EQUINOS,1981,121
156,05284,2019,OVINOS,30,121
157,05284,2019,BUFALOS,92,121
158,05306,2019,EQUINOS,212,121
159,05308,2019,CAPRINOS,48,121
160,05308,2019,EQUINOS,3960,121
161,05308,2019,OVINOS,16,121
162,05310,2019,CAPRINOS,6,121
163,05310,2019,EQUINOS,1581,121
164,05310,2019,OVINOS,25,121
165,05310,2019,BUFALOS,286,121
166,05313,2019,EQUINOS,309,121
167,05313,2019,OVINOS,25,121
168,05315,2019,EQUINOS,636,121
169,05315,2019,BUFALOS,2,121
170,05318,2019,CAPRINOS,6,121
171,05318,2019,EQUINOS,1160,121
172,05318,2019,OVINOS,47,121
173,05318,2019,BUFALOS,101,121
174,05321,2019,EQUINOS,400,121
175,05347,2019,CAPRINOS,9,121
176,05347,2019,EQUINOS,768,121
177,05347,2019,OVINOS,24,121
178,05353,2019,EQUINOS,234,121
179,05353,2019,OVINOS,81,121
180,05360,2019,CAPRINOS,1,121
181,05360,2019,EQUINOS,196,121
182,05361,2019,CAPRINOS,5,121
183,05361,2019,EQUINOS,6260,121
184,05361,2019,OVINOS,126,121
185,05361,2019,BUFALOS,1,121
186,05364,2019,CAPRINOS,8,121
187,05364,2019,EQUINOS,437,121
188,05368,2019,CAPRINOS,113,121
189,05368,2019,EQUINOS,1053,121
190,05368,2019,OVINOS,118,121
191,05368,2019,BUFALOS,445,121
192,05376,2019,CAPRINOS,6,121
193,05376,2019,EQUINOS,1344,121
194,05376,2019,OVINOS,714,121
195,05380,2019,CAPRINOS,4,121
196,05380,2019,EQUINOS,899,121
197,05380,2019,OVINOS,3,121
198,05390,2019,EQUINOS,1616,121
199,05400,2019,CAPRINOS,98,121
200,05400,2019,EQUINOS,663,121
201,05400,2019,OVINOS,1,121
202,05411,2019,CAPRINOS,327,121
203,05411,2019,EQUINOS,670,121
204,05425,2019,CAPRINOS,35,121
205,05425,2019,EQUINOS,2144,121
206,05425,2019,OVINOS,28,121
207,05425,2019,BUFALOS,9,121
208,05440,2019,CAPRINOS,5,121
209,05440,2019,EQUINOS,885,121
210,05440,2019,OVINOS,79,121
211,05440,2019,BUFALOS,39,121
212,05467,2019,CAPRINOS,30,121
213,05467,2019,EQUINOS,245,121
214,05467,2019,OVINOS,170,121
215,05467,2019,BUFALOS,2,121
216,05475,2019,EQUINOS,268,121
217,05480,2019,CAPRINOS,263,121
218,05480,2019,EQUINOS,3803,121
219,05480,2019,OVINOS,209,121
220,05480,2019,BUFALOS,1637,121
221,05483,2019,CAPRINOS,22,121
222,05483,2019,EQUINOS,110,121
223,05490,2019,CAPRINOS,92,121
224,05490,2019,EQUINOS,6809,121
225,05490,2019,OVINOS,1171,121
226,05490,2019,BUFALOS,957,121
227,05495,2019,CAPRINOS,5,121
228,05495,2019,EQUINOS,2404,121
229,05495,2019,OVINOS,574,121
230,05495,2019,BUFALOS,2730,121
231,05501,2019,CAPRINOS,8,121
232,05501,2019,EQUINOS,360,121
233,05501,2019,OVINOS,41,121
234,05541,2019,CAPRINOS,5,121
235,05541,2019,EQUINOS,796,121
236,05541,2019,OVINOS,4,121
237,05543,2019,CAPRINOS,1,121
238,05543,2019,EQUINOS,2400,121
239,05543,2019,OVINOS,9,121
240,05576,2019,CAPRINOS,6,121
241,05576,2019,EQUINOS,412,121
242,05576,2019,OVINOS,5,121
243,05579,2019,CAPRINOS,51,121
244,05579,2019,EQUINOS,5931,121
245,05579,2019,OVINOS,791,121
246,05579,2019,BUFALOS,2559,121
247,05585,2019,CAPRINOS,120,121
248,05585,2019,EQUINOS,5260,121
249,05585,2019,OVINOS,184,121
250,05585,2019,BUFALOS,2132,121
251,05591,2019,CAPRINOS,17,121
252,05591,2019,EQUINOS,2084,121
253,05591,2019,OVINOS,194,121
254,05591,2019,BUFALOS,229,121
255,05604,2019,CAPRINOS,14,121
256,05604,2019,EQUINOS,5297,121
257,05604,2019,OVINOS,472,121
258,05604,2019,BUFALOS,290,121
259,05607,2019,CAPRINOS,1,121
260,05607,2019,EQUINOS,459,121
261,05607,2019,OVINOS,5,121
262,05615,2019,CAPRINOS,6,121
263,05615,2019,EQUINOS,3919,121
264,05615,2019,OVINOS,14,121
265,05615,2019,BUFALOS,4,121
266,05628,2019,EQUINOS,668,121
267,05631,2019,CAPRINOS,4,121
268,05631,2019,EQUINOS,661,121
269,05631,2019,OVINOS,2,121
270,05642,2019,CAPRINOS,4,121
271,05642,2019,EQUINOS,1145,121
272,05642,2019,OVINOS,11,121
273,05647,2019,CAPRINOS,115,121
274,05647,2019,EQUINOS,997,121
275,05647,2019,OVINOS,118,121
276,05649,2019,CAPRINOS,7,121
277,05649,2019,EQUINOS,774,121
278,05649,2019,OVINOS,4,121
279,05649,2019,BUFALOS,2,121
280,05652,2019,EQUINOS,344,121
281,05656,2019,CAPRINOS,7,121
282,05656,2019,EQUINOS,727,121
283,05656,2019,OVINOS,148,121
284,05658,2019,CAPRINOS,23,121
285,05658,2019,EQUINOS,592,121
286,05658,2019,OVINOS,24,121
287,05659,2019,CAPRINOS,82,121
288,05659,2019,EQUINOS,1491,121
289,05659,2019,OVINOS,199,121
290,05660,2019,CAPRINOS,2,121
291,05660,2019,EQUINOS,438,121
292,05660,2019,OVINOS,2,121
293,05664,2019,CAPRINOS,126,121
294,05664,2019,EQUINOS,1607,121
295,05664,2019,OVINOS,384,121
296,05665,2019,CAPRINOS,531,121
297,05665,2019,EQUINOS,5488,121
298,05665,2019,OVINOS,910,121
299,05667,2019,CAPRINOS,104,121
300,05667,2019,EQUINOS,2576,121
301,05667,2019,OVINOS,521,121
302,05667,2019,BUFALOS,16,121
303,05670,2019,CAPRINOS,1,121
304,05670,2019,EQUINOS,1663,121
305,05670,2019,OVINOS,80,121
306,05670,2019,BUFALOS,290,121
307,05674,2019,CAPRINOS,8,121
308,05674,2019,EQUINOS,876,121
309,05674,2019,OVINOS,11,121
310,05674,2019,BUFALOS,2,121
311,05679,2019,CAPRINOS,9,121
312,05679,2019,EQUINOS,1879,121
313,05679,2019,OVINOS,32,121
314,05686,2019,CAPRINOS,298,121
315,05686,2019,EQUINOS,1650,121
316,05686,2019,OVINOS,579,121
317,05686,2019,BUFALOS,335,121
318,05690,2019,CAPRINOS,10,121
319,05690,2019,EQUINOS,435,121
320,05690,2019,OVINOS,18,121
321,05690,2019,BUFALOS,7,121
322,05697,2019,CAPRINOS,44,121
323,05697,2019,EQUINOS,1365,121
324,05697,2019,OVINOS,901,121
325,05697,2019,BUFALOS,757,121
326,05736,2019,EQUINOS,1252,121
327,05736,2019,OVINOS,150,121
328,05736,2019,BUFALOS,72,121
329,05756,2019,CAPRINOS,53,121
330,05756,2019,EQUINOS,2888,121
331,05756,2019,OVINOS,176,121
332,05756,2019,BUFALOS,286,121
333,05761,2019,CAPRINOS,9,121
334,05761,2019,EQUINOS,661,121
335,05761,2019,OVINOS,3,121
336,05789,2019,CAPRINOS,40,121
337,05789,2019,EQUINOS,3948,121
338,05789,2019,OVINOS,30,121
339,05790,2019,CAPRINOS,7,121
340,05790,2019,EQUINOS,2249,121
341,05790,2019,OVINOS,237,121
342,05790,2019,BUFALOS,710,121
343,05792,2019,CAPRINOS,33,121
344,05792,2019,EQUINOS,865,121
345,05792,2019,OVINOS,141,121
346,05809,2019,CAPRINOS,64,121
347,05809,2019,EQUINOS,2543,121
348,05809,2019,OVINOS,287,121
349,05809,2019,BUFALOS,63,121
350,05819,2019,CAPRINOS,8,121
351,05819,2019,EQUINOS,173,121
352,05819,2019,OVINOS,10,121
353,05837,2019,CAPRINOS,505,121
354,05837,2019,EQUINOS,9904,121
355,05837,2019,OVINOS,1727,121
356,05837,2019,BUFALOS,10375,121
357,05842,2019,CAPRINOS,1,121
358,05842,2019,EQUINOS,1303,121
359,05842,2019,OVINOS,19,121
360,05847,2019,CAPRINOS,188,121
361,05847,2019,EQUINOS,1416,121
362,05847,2019,OVINOS,33,121
363,05847,2019,BUFALOS,76,121
364,05854,2019,CAPRINOS,13,121
365,05854,2019,EQUINOS,2025,121
366,05854,2019,OVINOS,15,121
367,05856,2019,CAPRINOS,14,121
368,05856,2019,EQUINOS,907,121
369,05856,2019,OVINOS,353,121
370,05856,2019,BUFALOS,280,121
371,05858,2019,CAPRINOS,2,121
372,05858,2019,EQUINOS,1462,121
373,05858,2019,OVINOS,74,121
374,05858,2019,BUFALOS,75,121
375,05861,2019,CAPRINOS,9,121
376,05861,2019,EQUINOS,806,121
377,05861,2019,OVINOS,89,121
378,05861,2019,BUFALOS,16,121
379,05873,2019,EQUINOS,172,121
380,05885,2019,CAPRINOS,2,121
381,05885,2019,EQUINOS,1549,121
382,05885,2019,OVINOS,2,121
383,05885,2019,BUFALOS,19,121
384,05887,2019,CAPRINOS,300,121
385,05887,2019,EQUINOS,2366,121
386,05887,2019,OVINOS,305,121
387,05887,2019,BUFALOS,3,121
388,05890,2019,CAPRINOS,4,121
389,05890,2019,EQUINOS,2055,121
390,05890,2019,OVINOS,114,121
391,05890,2019,BUFALOS,160,121
392,05893,2019,CAPRINOS,312,121
393,05893,2019,EQUINOS,5082,121
394,05893,2019,OVINOS,1189,121
395,05893,2019,BUFALOS,10846,121
396,05895,2019,CAPRINOS,37,121
397,05895,2019,EQUINOS,1581,121
398,05895,2019,OVINOS,520,121
399,05895,2019,BUFALOS,592,121
400,08078,2019,CAPRINOS,144,121
401,08078,2019,EQUINOS,270,121
402,08078,2019,OVINOS,661,121
403,08078,2019,BUFALOS,9,121
404,08137,2019,CAPRINOS,32,121
405,08137,2019,EQUINOS,105,121
406,08137,2019,OVINOS,35,121
407,08137,2019,BUFALOS,54,121
408,08141,2019,CAPRINOS,215,121
409,08141,2019,EQUINOS,400,121
410,08141,2019,OVINOS,211,121
411,08141,2019,BUFALOS,87,121
412,08296,2019,CAPRINOS,47,121
413,08296,2019,EQUINOS,147,121
414,08296,2019,OVINOS,1335,121
415,08296,2019,BUFALOS,11,121
416,08372,2019,CAPRINOS,930,121
417,08372,2019,EQUINOS,675,121
418,08372,2019,OVINOS,97,121
419,08372,2019,BUFALOS,55,121
420,08421,2019,CAPRINOS,949,121
421,08421,2019,EQUINOS,690,121
422,08421,2019,OVINOS,148,121
423,08421,2019,BUFALOS,362,121
424,08433,2019,CAPRINOS,90,121
425,08433,2019,EQUINOS,135,121
426,08433,2019,OVINOS,149,121
427,08433,2019,BUFALOS,167,121
428,08436,2019,CAPRINOS,209,121
429,08436,2019,EQUINOS,1046,121
430,08436,2019,OVINOS,321,121
431,08436,2019,BUFALOS,20,121
432,08520,2019,CAPRINOS,8,121
433,08520,2019,EQUINOS,187,121
434,08520,2019,OVINOS,316,121
435,08520,2019,BUFALOS,70,121
436,08549,2019,CAPRINOS,50,121
437,08549,2019,EQUINOS,487,121
438,08549,2019,OVINOS,1226,121
439,08558,2019,CAPRINOS,134,121
440,08558,2019,EQUINOS,325,121
441,08558,2019,OVINOS,1030,121
442,08558,2019,BUFALOS,30,121
443,08560,2019,CAPRINOS,133,121
444,08560,2019,EQUINOS,875,121
445,08560,2019,OVINOS,1460,121
