id,dane_code,area,year_of_incident,amount,source_id
199,54498,0,2023,1,25
200,05040,0,2023,1,25
201,05040,0,2023,1,25
202,95015,1,2023,1,25
203,05361,0,2023,1,25
204,05038,0,2023,1,25
205,05038,1,2023,1,25
206,05040,0,2023,1,25
207,05040,1,2023,1,25
208,95001,0,2023,1,25
209,76130,1,2023,1,25
210,05736,1,2023,1,25
211,54673,1,2023,1,25
212,05113,0,2023,1,25
213,05120,0,2023,1,25
214,81736,1,2023,1,25
215,05148,0,2023,1,25
216,05055,1,2023,1,25
217,05361,0,2023,1,25
218,54398,1,2023,1,25
219,05113,1,2023,1,25
220,54810,0,2023,1,25
221,54720,0,2023,1,25
222,05113,1,2023,1,25
223,54498,1,2023,1,25
224,54250,1,2023,1,25
225,95001,1,2023,1,25
226,54800,1,2023,1,25
227,52233,0,2023,1,25
228,05893,0,2023,1,25
229,54398,0,2023,1,25
230,05361,1,2023,1,25
231,54250,1,2023,1,25
232,95001,1,2023,1,25
233,52233,0,2023,1,25
234,54001,1,2023,1,25
235,05038,0,2023,1,25
236,05790,0,2023,1,25
237,05790,0,2023,1,25
238,05790,0,2023,1,25
239,05790,0,2023,1,25
240,05790,0,2023,1,25
241,05790,0,2023,1,25
242,05790,0,2023,1,25
243,05790,1,2023,1,25
244,50001,1,2023,1,25
245,81736,0,2023,1,25
246,20614,0,2023,1,25
247,81736,0,2023,1,25
248,95001,1,2023,1,25
249,05790,0,2023,1,25
250,05120,0,2023,1,25
251,05120,1,2023,1,25
252,05154,1,2023,1,25
253,54001,1,2023,1,25
254,05154,0,2023,1,25
255,54720,0,2023,1,25
256,05107,1,2023,1,25
257,05604,0,2023,1,25
258,05887,1,2023,1,25
259,54001,1,2023,1,25
260,05107,1,2023,1,25
261,81736,0,2023,1,25
262,05134,1,2023,1,25
263,05887,0,2023,1,25
264,27580,1,2023,1,25
265,54250,1,2023,1,25
266,54344,0,2023,1,25
267,05250,0,2023,1,25
268,95025,0,2023,1,25
269,54660,0,2023,1,25
270,05040,1,2023,1,25
271,27491,0,2023,1,25
272,05250,1,2023,1,25
273,54001,1,2023,1,25
274,54344,0,2023,1,25
275,54810,0,2023,1,25
276,81736,0,2023,1,25
277,20383,0,2023,1,25
278,05604,1,2023,1,25
279,27099,0,2023,1,25
280,27580,1,2023,1,25
281,05887,0,2023,1,25
282,05858,0,2023,1,25
283,05893,1,2023,1,25
284,52233,0,2023,1,25
285,54670,1,2023,1,25
286,54810,0,2023,1,25
287,19110,0,2023,1,25
288,68081,1,2023,1,25
289,05310,1,2023,1,25
290,27491,0,2023,1,25
291,05120,0,2023,1,25
292,54385,0,2023,1,25
293,05040,1,2023,1,25
294,05040,1,2023,1,25
295,54810,0,2023,1,25
296,05647,0,2023,1,25
297,54344,0,2023,1,25
298,27001,1,2023,1,25
299,76001,1,2022,1,25
300,50001,1,2022,1,25
301,76364,0,2022,1,25
302,76364,1,2022,1,25
303,19698,0,2022,1,25
304,85162,0,2022,1,25
305,54498,0,2022,1,25
306,50001,1,2022,1,25
307,20001,1,2022,1,25
308,52227,1,2022,1,25
309,13667,0,2022,1,25
310,20001,1,2022,1,25
311,18756,1,2022,1,25
312,76001,1,2022,1,25
313,95001,1,2022,1,25
314,54109,0,2022,1,25
315,54498,1,2022,1,25
316,05887,0,2022,1,25
317,68081,1,2022,1,25
318,81736,1,2022,1,25
319,81736,1,2022,1,25
320,52835,0,2022,1,25
321,13490,0,2022,1,25
322,50568,0,2022,1,25
323,68081,1,2022,1,25
324,05001,1,2022,1,25
325,13667,0,2022,1,25
326,76364,1,2022,1,25
327,18753,0,2022,1,25
328,54820,0,2022,1,25
329,70001,1,2022,1,25
330,70001,1,2022,1,25
331,70001,1,2022,1,25
332,70001,1,2022,1,25
333,05212,0,2022,1,25
334,08758,1,2022,1,25
335,70508,1,2022,1,25
336,54498,1,2022,1,25
337,70508,0,2022,1,25
338,52227,1,2022,1,25
339,05604,0,2022,1,25
340,27001,1,2022,1,25
341,27001,1,2022,1,25
342,27001,1,2022,1,25
343,27001,1,2022,1,25
344,54810,0,2022,1,25
345,05893,1,2022,1,25
346,54344,0,2022,1,25
347,27450,0,2022,1,25
348,76892,1,2022,1,25
349,05736,0,2022,1,25
350,27001,1,2022,1,25
351,54720,0,2022,1,25
352,54720,0,2022,1,25
353,05154,1,2022,1,25
354,19050,1,2022,1,25
355,18592,0,2022,1,25
356,19698,1,2022,1,25
357,95015,1,2022,1,25
358,05120,0,2022,1,25
359,41001,0,2022,1,25
360,05736,0,2022,1,25
361,13655,0,2022,1,25
362,27001,1,2022,1,25
363,50568,0,2022,1,25
364,47053,1,2022,1,25
365,27001,1,2022,1,25
366,50251,1,2022,1,25
367,27450,1,2022,1,25
368,54720,1,2022,1,25
369,54720,1,2022,1,25
370,54250,1,2022,1,25
371,27450,0,2022,1,25
372,81736,1,2022,1,25
373,27001,1,2022,1,25
374,47189,1,2022,1,25
375,27001,1,2022,1,25
376,54810,1,2022,1,25
